Titulo,Código,Autor,Assunto,Valor
Arquivos Literários,72,"Eneida Maria de Souza, Wander Melo Miranda","Literatura brasileira, Crítica literária","R$46,00"
"Arte da Automutilação, A",73,Felipe Lion,"Literatura brasileira, Poesia","R$47,00"
"Arte de Argumentar, A - Gerenciando Razão e Emoção",74,Antônio Suárez Abreu,"Comunicação, Argumentação, Escrita","R$49,00"
"Arte do Zajal, A - Estudo de Poética Árabe",75,Michel Sleiman,"Crítica literária, Poesia, Cultura árabe","R$54,00"
"Arte Invisível ou a Arte do Livro, A",76,Plinio Martins Filho,"Design, Tipografia, Livros sobre livros, Artes gráficas, Ilustrado","R$42,00"
"Arte, Dor - Inquietudes entre Estética e Psicanálise",77,João A. Frayze-Pereira,"Arte, Psicanálise e Psicologia, Ilustrado","R$98,00"
Artigas e Cascaldi - Arquitetura em Londrina,78,Juliana Suzuki,"Arquitetura, Ilustrado","R$71,00"
Até a Margem do Grande Rio,79,Edu Campos,"Literatura brasileira, Contos, Fotografia, Ilustrado","R$42,00"
"Ateneu, O",80,"Emília Amaral, Raul Pompeia","Literatura brasileira, Romance, Ilustrado","R$38,00"
Auto da Barca do Inferno,81,"Gil Vicente, Ivan Teixeira","Idade média, Cultura medieval, Literatura portuguesa, Literatura medieval, Teatro, Ilustrado","R$27,50"
"Bailadora Andaluza, A - A Explosão do Sagrado na Poesia de João Cabral",82,Waldecy Tenório,"Literatura brasileira, Crítica literária","R$43,00"
"Balada do Velho Marinheiro, A",83,"Alípio Correia de Franca Neto, Samuel Taylor Coleridge","Poesia, Literatura estrangeira, Bilíngue, Ilustrado, Tradução","R$76,00"
BaléRalé,84,Marcelino Freire,"Literatura brasileira, Contos","R$48,00"
Baldio - poemas (2009-2017),85,Rodrigo Madeira,Poesia,"R$44,90"
Balão Cativo,86,Pedro Nava,"Memória, Literatura brasileira","R$72,00"
"Banda das Velhas Virgens, A - 18 Anos de Bar em Bar",87,"Alexandre Cavalo, Ricardo dos Santos Gozzi","Música, Memória, Biografia, Ilustrado","R$39,80"
"Batalha dos Livros, A",88,Lincoln Secco,"Livros sobre livros, Política, História","R$46,00"
Beauty & Fashion,89,Mário Cafiero,"Arte, Ilustração e pintura, Humor","R$76,00"
Beira-Mar,90,Pedro Nava,"Memória, Literatura brasileira","R$78,00"
Bibliomania,91,"Lincoln Secco, Marisa Midori Deaecto","Livros sobre livros, Bibliofilia","R$59,00"
Biblioteca,92,Luís Milanesi,"Livros sobre livros, Biblioteconomia","R$33,00"
"Biblioteca Imaginária, A",93,João Alexandre Barbosa,"Crítica literária, Literatura","R$44,00"
"Bicho Urucutum, O",94,Pedro Nava,"Memória, Literatura brasileira, Ilustrado","R$43,00"
Bilhete Seco,95,Elisa Nazarian,"Literatura brasileira, Contos","R$48,00"
Bom Crioulo,96,"Salete de Almeida Cara, Adolfo Caminha","Literatura brasileira, Romance, Ilustrado","R$38,00"
Bovarismo e Romance - Madame Bovary e Lady Oracle,97,Andrea Saad Hossne,"Crítica literária, Literatura estrangeira","R$53,00"
Branco sobre Branco,98,Guilherme Zarvos,"Cultura, Ilustrado","R$55,00"
Brasil: Paisagens de Exceção - O Litoral e o Pantanal Mato-grossense: Patrimônios Básicos,99,Aziz Ab Sáber,"Geografia, Ecologia, Ilustrado","R$55,00"
Bucólicas,100,"Odorico Mendes, Virgílio","Poesia, Literatura estrangeira, Bilíngue, Literatura clássica, Tradução, Odorico Mendes","R$78,00"
"C@rtas Ácidas da Campanha de Lula de 1998, As",101,Bernardo Kucinski,"Memória, Política","R$38,00"
Cabo Verde - Literatura em Chão de Cultura,102,Simone Caputo Gomes,"Crítica literária, Literatura africana","R$62,00"
"Cadenciando-um-Ning - Um Samba, para o Outro",103,"Michael Palmer, Régis Bonvicino","Literatura brasileira, Poesia, Literatura estrangeira, Bilíngue","R$35,00"
Caderno de Literatura e Cultura Russa - Dostoiévski,104,Depto. Letras Orientais USP,"Crítica literária, Literatura estrangeira","R$97,00"
Cadernos 1 e 2,105,Pedro Nava,"Memória, Literatura brasileira, Ilustrado","R$30,00"
"Cadernos Anatômicos de Leonardo da Vinci, Os",106,Leonardo da Vinci,"Arte, Ilustração e pintura, Medicina e Anatomia","R$308,00"
Caligramas,107,Guillaume Apollinaire,"Poesia, Literatura estrangeira, Bilíngue","R$66,00"
Caligramas (2a ed.),108,"Álvaro Faleiros, Guillaume Apollinaire","Tradução, Poesia, Literatura estrangeira, Ilustrado, Bilíngue","R$68,00"
Cama de Campanha,109,Flávio Carvalho Ferraz,"Literatura brasileira, Poesia","R$42,00"
"Caminho do Encontro, A - Uma Leitura de Contos Novos",110,Ivone Daré Rabello,"Literatura brasileira, Crítica literária","R$53,00"
"Caminhos do Romance em Portugal - Camilo, Eça e o Folhetim Francês",111,Andréa Trench de Castro,"Crítica literária, Literatura portuguesa","R$52,00"
Cancioneiro,112,Francesco Petrarca,"Poesia, Literatura estrangeira, Bilíngue, Ilustrado","R$189,00"
Cantigas do Falso Alfonso el Sabio,113,Affonso Ávila,"Literatura brasileira, Poesia","R$45,00"
"Capa do Livro Brasileiro, A - 1820-1950",114,Ubiratan Machado,"Livros sobre livros, Ilustrado, Ilustração e pintura, Editoração, Design, Criação, Artes gráficas","R$320,00"
Capas de Santa Rosa,115,Luís Bueno,"Ilustrado, Biografia, Artes gráficas, Arte, Livros sobre livros, Design","R$132,00"
Capítulos da História da Medicina no Brasil,116,Pedro Nava,"Medicina e Saúde, História","R$52,00"
"Carne, A",117,Júlio Ribeiro,"Literatura brasileira, Romance, Ilustrado","R$37,00"
Cartas a Miranda,118,Quatremère de Quincy,"Arquitetura, Arte, História, Restauração","R$35,00"
Cartas a William Agel de Mello,119,"João Guimarães Rosa, William Agel de Mello","Memória, Literatura brasileira","R$39,60"
Cartas aos Amigos Caio Porfírio Carneiro e Fábio Lucas,120,João Antônio,Memória,"R$32,00"
Cartas de Fidelino de Figueiredo e de Segismundo Spina,121,Nuno Fidelino de Figueiredo,Memória,"R$33,00"
Cartilha - Martelo-Gabinete e Ferrografia,122,Virgílio Maia,"Literatura brasileira, Poesia, Ilustrado","R$33,00"
Casa de Pensão,123,"Marcelo Bulhões, Aluísio de Azevedo","Literatura brasileira, Romance, Ilustrado","R$43,00"
"Casa dos Seis Tostões, A",124,Paul Collins,Livros sobre livros,"R$67,00"
Casas Importadoras de Santos e seus Agentes,125,Carina Marcondes Ferreira Pedro,"História, Economia, Cultura","R$42,00"
Catecismo da Preservação de Monumentos,126,Max Dvorák,"Arquitetura, Restauração","R$41,00"
Céus Derretidos,127,"Teixeira Coelho, Jean-Claude Bernardet","Literatura brasileira, Romance","R$41,00"
"Cem Menores Contos Brasileiros do Século, Os",128,Marcelino Freire,"Literatura brasileira, Contos","R$35,00"
"Cem Menores Contos Brasileiros do Século, Os (5a. ed.)",129,Marcelino Freire,"Contos, Humor, Literatura brasileira","R$48,00"
Cena Absurdo,130,Pedro Marques,"Literatura, Poesia","R$67,00"
Cena Macaca,131,Zé Pedro,"Arte, Ilustração e pintura, Humor","R$65,00"
"Cena Muda, A",132,Miguel Angel Fernandez,"Literatura brasileira, Romance","R$46,00"
"Cenas da Infância - Kartolas, Kalungas e Katiras",133,Jonas Rosa,Poesia,"R$39,00"
Cenas em Jogo,134,Renato Tardivo,"Cinema, Crítica literária, Teoria literária, Psicanálise e Psicologia","R$33,00"
Cera das Almas,135,Pedro Nava,"Memória, Literatura brasileira","R$39,00"
Choro de Homem,136,Marcos Rodrigues,"Literatura brasileira, Contos, Ilustrado","R$39,00"
Cicatriz,137,Eduardo Guimarães,"Literatura, Poesia","R$65,00"
Ciclo das Chamas,138,Antônio Lázaro de Almeida Prado,"Literatura brasileira, Poesia","R$39,00"
Cidade de Atys,139,Marcelo Novaes,"Literatura brasileira, Romance","R$29,00"
"Cidade e as Serras, A",140,"Paulo Franchetti, Leila Guenther, Eça de Queirós","Romance, Literatura portuguesa, Ilustrado","R$38,00"
Cidadela Ardente,141,Thelma Guedes,"Ilustrado, Literatura brasileira, Contos","R$40,00"
Cinematografia,142,Paulo Lopes Lourenço,"Ilustrado, Poesia","R$44,90"
Cirandas,143,Bruno Palma,"Ilustrado, Poesia, Infantil","R$60,00"
Clarice Lispector - Uma Poética do Olhar,144,Regina Pontieri,"Literatura brasileira, Crítica literária","R$49,00"
Clepsidra,145,"Paulo Franchetti, Camilo Pessanha","Poesia, Literatura portuguesa, Ilustrado","R$33,00"
Clichês Brasileiros,146,Gustavo Piqueira,"Ilustrado, Design, Livros sobre livros, Ilustração e pintura, Tipografia, Artes gráficas","R$69,00"
Clusters,147,Pedro Marques,"Literatura brasileira, Poesia","R$33,00"
Cocanha - Várias Faces de uma Utopia,148,Hilário Franco Jr.,"Literatura medieval, Mitologia, História, Sociologia e Sociedade, Ilustrado, Cultura medieval","R$29,60"
Coisas do Diabo Contra,149,Eromar Bomfim,"Ilustrado, Literatura brasileira, Romance","R$44,00"
"Comédia e Seus Duplos, A: O Anfitrião de Plauto",150,Rodrigo Tadeu Gonçalves,"Crítica literária, Literatura clássica, Teatro","R$69,90"
Comentário Literal sobre os Três Primeiros Capítulos do Gênesis,151,Giovanni Jacopo Casanova,"Romance, Literatura estrangeira","R$32,00"
Comunicados Lacônicos,152,Antonio Lizárraga,"Literatura brasileira, Poesia","R$42,00"
Concerto Amazônico,153,Álvaro Cardoso Gomes,"Literatura brasileira, Romance","R$48,00"
Condillac Lúcido e Translúcido,154,Leon Kossovitch,Filosofia,"R$56,00"
Contos da Nova Cartilha - Primeiro Livro de Leitura,155,Liev Tolstói,"Literatura estrangeira, Contos, Infantil, Ilustrado, Tradução","R$53,00"
Contos da Nova Cartilha - Segundo Livro de Leitura - Vol. 1,156,Liev Tolstói,"Literatura estrangeira, Contos, Infantil, Ilustrado, Tradução","R$58,00"
Contos do Divã,157,Sylvia Loeb,"Literatura brasileira, Contos, Psicanálise e Psicologia","R$42,00"
Contracomunicação,158,Décio Pignatari,"Comunicação, Semiótica, Ilustrado","R$44,00"
"Conversações Noturnas & Outros Poemas, As",159,José Laurenio de Melo,"Literatura brasileira, Poesia","R$40,00"
Coração sem Alma,160,Xavier de Monte Pinho,"Memória, Literatura brasileira, Romance","R$20,00"
"Coração, Cabeça e Estômago",161,Camilo Castelo Branco,"Ilustrado, Literatura portuguesa","R$38,00"
"Coreografia do Desejo, A - Cem Anos de Ficção Brasileira",162,Maria Angélica G. Lopes,"Literatura brasileira, Crítica literária","R$45,00"
Cores de Rosa,163,Adélia Bezerra de Meneses,"Ilustrado, Literatura brasileira, Crítica literária, Semiótica, Psicanálise e Psicologia","R$60,00"
Corredores para Abutres,164,Regina Silveira,"Arte, Ilustração e pintura","R$31,00"
Corrupção (18 Contos),165,Rodrigo Penteado,"Literatura brasileira, Contos","R$44,00"
"Cortiço, O",166,"Paulo Franchetti, Leila Guenther, Aluísio de Azevedo","Literatura brasileira, Romance, Ilustrado","R$38,00"
Cozinheiro Nacional: Melhores Receitas Brasileiras e Europeias,167,Anônimo,"Gastronomia, Culinária, História, Ilustrado","R$98,00"
Crítica Dialética em Theodor Adorno,168,Jorge de Almeida,"Música, Filosofia, Estética, Crítica musical","R$48,00"
Crítica e Criação - Um Estudo da Kreisleriana Op. 16 de Robert Schumann,169,Mónica Vermes,"Música, Crítica musical","R$53,00"
"Crítica Literária Brasileira em Perspectiva, A",170,"Rogério Cordeiro, Andréa Sirihal Werkema, Claudia Campos Soares, Sérgio Alcides Pereira do Amaral","Literatura brasileira, Crítica literária, História","R$58,00"
Criação e Conflito,171,Celeste Ribeiro de Sousa,"Crítica literária, Literatura estrangeira","R$48,00"
Crônicas da Vida Boêmia,172,Aluízio Falcão,"Literatura brasileira, Crônicas","R$48,00"
Crônicas Efêmeras,173,João do Rio,"Memória, Literatura brasileira, Crônicas","R$45,00"
Cultura das Bordas - Edição. Comunicação. Leitura,174,Jerusa Pires Ferreira,"Comunicação, Semiótica, Sociologia e Sociedade, Cultura","R$40,00"
"Cultura Literária Medieval, A",175,Segismundo Spina,"Idade média, Crítica literária, Literatura medieval, Cultura medieval","R$35,00"
Da Argila à Nuvem,176,Yann Sordet,"Bibliofilia, Livros sobre livros, História, Artes gráficas","R$44,00"
"Dança de Shiva, A",177,Ricardo Pires de Souza,"Literatura brasileira, Poesia","R$27,00"
Dante - O Poeta do Absoluto,178,Hilário Franco Jr.,Biografia,"R$28,00"
Daquela Estrela à Outra,179,"Giuseppe Ungaretti, Lúcia Wataghin, Haroldo de Campos","Tradução, Poesia, Literatura estrangeira, Bilíngue","R$83,00"
De Olho na Morte e Antes,180,Fernando Fortes,"Literatura brasileira, Poesia","R$88,00"
De Orfeu e de Perséfone - Morte e Literatura,181,Lélia Parreira Duarte,"Crítica literária, Literatura","R$55,00"
De Voos e Ilhas - Literatura e Comunitarismos,182,Benjamin Abdala Jr.,"Literatura brasileira, Crítica literária, Literatura portuguesa, Literatura africana","R$56,00"
Debaixo do Sol,183,Eunice Arruda,"Literatura brasileira, Poesia","R$40,00"
"Descoberta do Frio, A",184,Oswaldo de Camargo,"Literatura brasileira, Romance","R$38,00"
Desconhecer,185,Ricardo Lima,"Literatura brasileira, Poesia, Ilustrado","R$44,00"
Desenho Mágico - Poesia e Política em Chico Buarque,186,Adélia Bezerra de Meneses,"Música, Poesia, Política, Ilustrado","R$65,00"
"Design como Ele É, O",187,"Chico Homem de Melo, Eliana Tróia","Livros sobre livros, Design, Tipografia, Artes gráficas, Ilustrado","R$28,00"
"Design da Escrita, O - Redigindo com Criatividade e Beleza, Inclusive Ficção",188,Antônio Suárez Abreu,"Design, Comunicação, Literatura, Criação, Escrita","R$45,00"
"Design do Livro, O",189,Richard Hendel,"Design, Tipografia, Editoração, Livros sobre livros, Artes gráficas, Ilustrado","R$98,00"
Deste Lugar,190,Paulo Franchetti,"Literatura brasileira, Poesia","R$39,00"
"Deuses Chutam Lata na Consolação, Os",191,Gilson Rampazzo,"Literatura brasileira, Romance","R$38,00"
Devagar,192,Diva Gomes,"Literatura brasileira, Poesia","R$29,50"
Dez Mitos sobre os Judeus,193,Maria Luiza Tucci Carneiro,"Mitologia, História, Judaísmo, Ilustrado","R$50,00"
Dez Mitos sobre os Judeus - 2a. ed.,194,Maria Luiza Tucci Carneiro,"História, Ilustrado, Judaísmo, Mitologia","R$50,00"
Diana Caçadora & Tango Fantasma,195,Márcia Denser,"Literatura brasileira, Contos","R$45,00"
Dias Melhores... Pra Sempre!,196,"Cyro Leão, Luiz Chinan, Jadyr Pavão Jr.","Poesia, Literatura portuguesa, Ilustrado","R$33,00"
Dicionário Brasileiro de Insultos,197,Altair J. Aranha,"Humor, Dicionário","R$47,00"
"Diálogos Literários - Literatura, Comparativismo e Ensino",198,Agnaldo Rodrigues da Silva,"Crítica literária, Literatura","R$54,00"
Diálogos sobre a Tecnologia do Cinema Brasileiro,199,Paulo B. C. Schettino,"Memória, Cinema, Entrevistas","R$61,00"
"Diderot - O Espírito das ""Luzes""",200,Jacó Guinsburg,Biografia,"R$28,00"
Dissipatio H.G. - O Fim do Gênero Humano,201,Guido Morselli,"Tradução, Romance, Literatura estrangeira","R$45,00"
Distopia,202,Hélio Franchini Neto,"Literatura brasileira, Romance","R$38,00"
Divina Comédia,203,"Dante Alighieri, João Trentino Ziller","Arte, Ilustração e pintura, Poesia, Literatura estrangeira, Bilíngue, Literatura clássica, Tradução","R$280,00"
Do Formalismo Estético Trovadoresco,204,Segismundo Spina,"Idade média, Crítica literária, Literatura medieval, Estética, Cultura medieval","R$49,50"
Do Modernismo à Bossa Nova,205,Jomard Muniz de Britto,"Arte, Música, Cinema, Cultura","R$30,00"
Do Socialismo Soviético ao Capitalismo Russo,206,Lenina Pomeranz,"História, Política","R$63,00"
Dom Casmurro,207,"Leila Guenther, Paulo Franchetti, Machado de Assis","Literatura brasileira, Romance, Ilustrado","R$41,00"
"Domínios de Natureza no Brasil, Os - Potencialidades Paisagísticas",208,Aziz Ab Sáber,"Geografia, Ecologia, Ilustrado","R$52,00"
Drummond - Da Rosa do Povo à Rosa das Trevas,209,Vagner Camilo,"Literatura brasileira, Crítica literária","R$75,00"
Duplo Canto e Outros Poemas,210,François Cheng,"Poesia, Literatura estrangeira, Bilíngue, Tradução","R$92,00"
E Fizerom Taes Maravilhas... - Histórias de Cavaleiros e Cavalarias,211,Lênia Márcia Mongelli,"Crítica literária, Literatura medieval, História, Idade média, Cultura medieval","R$85,00"
Eça de Queirós / Julio Pomar,212,"Eça de Queirós, Julio Pomar","Literatura portuguesa, Crônicas, Ilustrado","R$19,00"
"Economia da Cultura, A",213,Françoise Benhamou,"Tradução, Economia, Cultura","R$45,00"
Edgar Allan Poe - Um Homem em sua Sombra,214,Ricardo Araújo,"Crítica literária, Literatura estrangeira, Biografia","R$43,00"
Edição e Revolução: Leituras Comunistas no Brasil e na França,215,"Marisa Midori Deaecto, Jean-Yves Mollier","História, Livros sobre livros, Ilustrado","R$78,00"
Edifícios Comerciais - Felipe Bezerra,216,Fernando Serapião,"Arquitetura, Ilustrado","R$25,00"
Edifícios Escolares - Miguel Juliano,217,Cristiane Corrêa,"Arquitetura, Ilustrado","R$23,00"
Educação & Psicologia - Cinquenta Anos de Profissão,218,Geraldina Porto Witter,"Memória, Ilustrado","R$64,00"
Educação Sentimental em Proust,219,Philippe Willemart,Crítica literária,"R$48,00"
Edusp: Um Projeto Editorial,220,"Marcello Rollemberg, Plinio Martins Filho","Editoração, Ilustrado","R$99,80"
Égloga da Maçã,221,Affonso Ávila,"Literatura brasileira, Poesia, Ilustrado","R$48,00"
Eis o Mundo de Fora,222,Adrienne Myrtes,"Literatura brasileira, Romance","R$39,00"
Electra de Eurípides,223,"Trupersa - Trupe de Tradução de Teatro Antigo, Eurípides","Tradução, Teatro, Bilíngue, Cultura grega, Literatura clássica","R$45,00"
Electra(s),224,Trajano Vieira,"Cultura grega, Teatro, Literatura clássica, Ilustrado","R$39,60"
Elementos de Semiótica Tensiva,225,"Ivã Carlos Lopes, Luiz Tatit, Claude Zilberberg","Comunicação, Semiótica, Linguística","R$52,00"
Elos de Melodia e Letra - Análise Semiótica de Seis Canções,226,"Luiz Tatit, Ivã Carlos Lopes","Música, Semiótica","R$48,00"
Em Louvor de Anti-Heróis,227,Victor Brombert,"Crítica literária, Literatura","R$56,00"
Em Nome do Corpo,228,Iacopo Pontormo,"Arte, Memória, Bilíngue, Ilustrado, Tradução","R$57,00"
Encontros e Des-encontros,229,Maria Teresa Hellmeister Fornaciari,"Literatura brasileira, Crônicas","R$27,00"
Encrenca,230,Manoel Carlos Karam,"Literatura brasileira, Romance","R$34,00"
Eneida,231,"Odorico Mendes, Virgílio","Poesia, Literatura estrangeira, Mitologia, Literatura clássica, Ilustrado, Odorico Mendes","R$86,00"
Ensaiando a Canção - Paulinho da Viola e Outros Escritos,232,Eliete Eça Negreiros,"Música, Crítica musical","R$40,00"
Ensino de Ciências e Matemática - Formação e Atuação de Professores,233,"Geraldina Porto Witter, Moacir Wuo",Educação e Pedagogia,"R$36,00"
Entreato Amoroso,234,Aercio Consolin,"Literatura brasileira, Romance","R$49,50"
Entreatos,235,"Marcelo Castel Cid, Gustavo Piqueira","Romance, Religião, Literatura brasileira","R$32,00"
Entrelivros,236,João Alexandre Barbosa,"Crítica literária, Literatura","R$42,00"
Entretanto n° 1 - Revista de Literatura,237,"Marcelino Freire, Delmo Montenegro, Fabiano Calixto, Micheliny Verunschk, Raimundo Carrero","Crítica literária, Poesia, Contos, Crônicas, Literatura, Ilustrado","R$25,00"
Entrevistas de Domingo,238,O Diário de Mogi,"Memória, Jornalismo","R$150,00"
Epigramas,239,"Marco Valério Marcial, Rodrigo Garcia Lopes","Poesia, Tradução, Literatura clássica, Humor, Bilíngue","R$82,00"
Epigramas 2. ed.,240,"Marco Valério Marcial, Rodrigo Garcia Lopes, Gustavo Piqueira","Bilíngue, Humor, Literatura clássica, Poesia, Tradução","R$45,00"
Era no Tempo do Rei - Atualidade das Memórias de um Sargento de Milícias,241,Edu Teruki Otsuka,"Crítica literária, Literatura, Teoria literária","R$53,00"
EraOdito,242,Marcelino Freire,"Humor, Literatura brasileira, Ilustrado","R$48,00"
Escola de Semiótica - A Experiência de Tártu-Moscou para o Estudo da Crítica,243,Irene Machado,Semiótica,"R$38,00"
"Escrita de Deus, A",244,Wilson Roberto Theodoro Filho,"Literatura brasileira, Contos","R$40,00"
Escritas do Desejo - Crítica Literária e Psicanálise,245,"Cleusa Rios P. Passos, Yudith Rosenbaum","Crítica literária, Psicanálise e Psicologia","R$38,00"
Escrito sobre Jade - Poesia Clássica Chinesa,246,Haroldo de Campos,"Poesia, Literatura estrangeira, Bilíngue, Ilustrado","R$47,00"
"Escritores, Gatos e Teologia",247,Waldecy Tenório,"Literatura brasileira, Crítica literária, Religião","R$45,00"
Escritura e Nomadismo,248,Paul Zumthor,"Arte, Estética","R$39,50"
Esplendor do Barroco Luso-brasileiro,249,Benedito Lima de Toledo,"Ilustrado, Arte, Arquitetura","R$109,00"
"Espuma do Fogo, A",250,Carlos Nejar,"Literatura brasileira, Poesia","R$30,00"
Espumas Flutuantes,251,"José de Paula Ramos Jr., Castro Alves","Literatura brasileira, Poesia, Ilustrado","R$37,00"
Estados da Crítica,252,Alcides Cardoso dos Santos,"Crítica literária, Literatura","R$44,00"
Estandartes das Tribos de Israel,253,"Virgílio Maia, Socorro Torquato","Arte, Poesia, Ilustrado","R$38,00"
Estimar Canções,254,Luiz Tatit,"Arte, Música, Semiótica","R$38,00"
Estrelas Errantes - Memória do Teatro Ídiche no Brasil,255,Nachman Falbel,"Ilustrado, Memória, História, Teatro","R$140,00"
"Estudos Comparados - Teoria, Crítica e Metodologia",256,Benjamin Abdala Jr.,"Literatura brasileira, Crítica literária","R$68,00"
Estudos de Literatura Brasileira e Portuguesa,257,Paulo Franchetti,"Literatura brasileira, Crítica literária, Literatura portuguesa","R$63,00"
Estudos sobre Vieira,258,"João Adolfo Hansen, Hélder Garmes, Adma Muhana",Crítica literária,"R$43,00"
Ética e Educação,259,Nílson José Machado,"Educação e Pedagogia, Cidadania","R$34,00"
Euclides da Cunha: Uma Odisseia nos Trópicos,260,Frederic Amory,"Crítica literária, Biografia, Ilustrado","R$98,00"
Eugênio Montale - Criatividade Poética e Psicanálise,261,Marisa Pelella Mélega,"Crítica literária, Poesia, Literatura estrangeira, Psicanálise e Psicologia","R$37,00"
Eugênio Onêguin - Volume 1,262,"Aleksandr Púchkin, Elena Vássina, Alípio Correia de Franca Neto","Bilíngue, Ilustrado, Romance, Literatura estrangeira, Tradução, Poesia","R$78,00"
Ex-Libris,263,Plinio Martins Filho,"Editoração, História, Heráldica, Artes gráficas, Ilustrado","R$79,00"
Exílio - As Histórias da Grande Peste,264,Samuel Reibscheid,"Literatura brasileira, Contos","R$43,00"
Extravio Marinho,265,Simone Homem de Mello,"Literatura brasileira, Poesia","R$47,00"
Fala D. João,266,Hélio Cabral,"Poesia, Ilustrado, Arte","R$42,00"
"Falo no Jardim - Priapeia Grega, Priapeia Latina",267,João Ângelo Oliva Neto,"Poesia, Literatura estrangeira, Mitologia, Bilíngue, Literatura clássica, Ilustrado","R$99,50"
Farsa de Inês Pereira,268,"Carlos Cortez Minchillo, Izeti Fragata Torralvo, Gil Vicente","Idade média, Cultura medieval, Literatura portuguesa, Literatura medieval, Teatro, Ilustrado","R$28,50"
Fascinação,269,"Flavio de Souza, Luci Collin","Literatura, Ilustrado, Literatura brasileira, Romance","R$49,90"
Fábulas para o Ano 2000,270,"Gustavo Martins, Rodrigo Lacerda","Literatura brasileira, Contos, Infantil, Ilustrado","R$32,00"
Feito Eu,271,Elisa Nazarian,"Literatura brasileira, Poesia","R$35,00"
